City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,sakaiminato,35.55,133.2333,2.99,75,75,4.63,JP,1671315045
259,cruzilia,-21.8386,-44.8083,25.42,51,75,2.62,BR,1671264692
260,chuy,-33.6971,-53.4616,20.57,53,86,5.69,UY,1671265109
261,bakchar,57.0186,82.0711,-19.24,89,38,2.26,RU,1671246341
262,constitucion,-35.3333,-72.4167,18.82,62,45,4.3,CL,1671269391
263,ayagoz,47.9714,80.4392,-15.11,83,52,1.25,KZ,1671243752
264,prince rupert,54.3161,-130.3201,0.83,74,0,13.89,CA,1671296268
265,saint-max,48.7043,6.21,-3.72,90,13,1.03,FR,1671261765
266,saldanha,-33.0117,17.9442,26.03,85,24,9.22,ZA,1671248076
267,temoaya,19.4708,-99.5911,16.03,62,40,0.0,MX,1671282350
268,bria,6.5423,21.9863,30.79,20,40,1.15,CF,1671251748
269,nelson bay,-32.7167,152.15,16.73,79,80,0.45,AU,1671302327
270,neuquen,-38.9516,-68.0591,28.94,18,0,4.12,AR,1671267700
271,manyana,-23.4,21.7167,30.45,24,74,5.12,BW,1671248525
272,caluquembe,-13.7833,14.6833,21.28,63,99,3.49,AO,1671251355
273,rovnoye,50.7765,46.0509,0.29,92,100,4.23,RU,1671252770
274,calvia,39.5657,2.5062,16.26,73,4,0.6,ES,1671260679
275,mount gambier,-37.8333,140.7667,11.15,91,2,3.99,AU,1671304198
276,kambove,-10.8764,26.5969,19.23,91,100,1.44,CD,1671248815
277,ribas do rio pardo,-20.4431,-53.7592,32.41,34,31,0.29,BR,1671267012
278,kodiak,57.79,-152.4072,-1.27,86,75,2.57,US,1671302997
279,breyten,-26.3018,29.987,18.11,72,99,3.0,ZA,1671246160
280,tabuk,17.4189,121.4443,21.7,96,91,6.35,PH,1671315478
281,cap-aux-meules,47.3821,-61.8597,2.01,93,75,9.26,CA,1671277774
282,kudahuvadhoo,2.6708,72.8944,27.48,72,66,3.77,MV,1671239124
283,kochevo,59.5994,54.3125,-16.7,98,100,1.34,RU,1671254275
284,alofi,-19.0595,-169.9187,21.94,94,100,0.51,NU,1671295065
285,carutapera,-1.195,-46.02,31.17,53,43,4.13,BR,1671267272
286,panama city,8.9936,-79.5197,30.63,60,96,0.89,PA,1671276376
287,kavaratti,10.5669,72.642,27.51,68,0,2.76,IN,1671240012
288,narasannapeta,18.4167,84.05,21.16,73,9,2.6,IN,1671238138
289,coos bay,43.3665,-124.2179,0.52,93,0,2.57,US,1671291841
290,terrace,54.5163,-128.6035,-3.05,54,100,6.69,CA,1671295928
291,cagdianao,9.9211,125.6692,26.85,78,62,2.46,PH,1671313642
